Rk,Player,Nation,Pos,Squad,Age,Born,90s,total_comp,total_att,total_comp_succ,total_dist,prg_dist,short_comp,short_att,short_comp_succ,medium_comp,medium_att,medium_comp_succ,long_balls_comp,long_balls_att,long_balls_succ,assists,xAG,xA,A-xAG,key_passes,into_final_third,passes_into_pen_area,crosses_into_pen_area,progressive_passes
1,Teresa Abelleira,es ESP,MF,Real Madrid,25-127,2000,13.9,890,1081,82.3,17653,6395,328,365,89.9,408,450,90.7,137,226,60.6,2,1.9,2.7,0.1,27,163,20,3,162
2,Aiara Agirrezabala,,"DF,MF",Real Sociedad,16-226,2008,2.2,111,141,78.7,2311,820,32,38,84.2,62,76,81.6,15,23,65.2,0,0.1,0.2,-0.1,1,11,5,2,15
3,Daniela Agote,,"FW,MF",Athletic Club,18-262,2006,4.5,75,121,62,1048,190,49,62,79,21,34,61.8,2,6,33.3,0,0.7,0.3,-0.7,5,5,3,0,8
4,Júlia Aguado,es ESP,"FW,MF",Real Betis,25-014,2000,5.8,72,106,67.9,957,65,44,57,77.2,22,33,66.7,2,6,33.3,0,0.1,0.1,-0.1,1,3,0,0,0
5,Yolanda Aguirre,es ESP,GK,Sevilla,26-205,1998,2.1,46,76,60.5,1202,805,10,10,100,16,17,94.1,16,44,36.4,0,0,0,0,0,1,0,0,0
6,Rasheedat Ajibade,ng NGA,"FW,MF",Atlético Madrid,25-159,1999,16.8,346,516,67.1,5349,1512,191,240,79.6,114,171,66.7,28,53,52.8,3,3.3,3.3,-0.3,29,30,32,8,64
7,Ainhoa Alguacil,es ESP,"MF,FW",Valencia,19-128,2006,20.8,590,687,85.9,9976,2496,280,302,92.7,239,269,88.8,58,82,70.7,0,1.5,1.3,-1.5,30,62,18,3,99
8,María Alharilla Casado,es ESP,DF,Levante,34-184,1990,23.6,792,1079,73.4,13588,6907,390,464,84.1,298,378,78.8,86,176,48.9,0,1.3,1.7,-1.3,10,67,16,7,78
9,Amirah Ali,us USA,"FW,MF",Valencia,26-160,1998,6.1,66,87,75.9,824,235,39,47,83,16,23,69.6,3,5,60,0,0.1,0.1,-0.1,4,6,2,0,8
10,Vitória Almeida,,FW,Valencia,25-263,1999,4.8,61,96,63.5,822,44,36,47,76.6,19,27,70.4,2,6,33.3,0,0,0,0,1,3,0,0,3
11,Eva Alonso,,"DF,MF",Levante,22-297,2002,22.5,963,1136,84.8,18613,8493,295,322,91.6,563,610,92.3,97,185,52.4,0,0,0.2,0,1,46,2,0,58
12,Arene Altonaga,es ESP,MF,Eibar,32-080,1993,20.3,285,437,65.2,4872,1125,122,173,70.5,128,173,74,25,53,47.2,1,0.5,0.5,0.5,7,25,4,1,34
13,Oriana Altuve,ve VEN,"FW,MF",Dep La Coruña,32-225,1992,2.1,28,38,73.7,321,71,19,25,76,5,6,83.3,1,2,50,0,0,0.1,0,1,1,1,0,3
14,Andrea Álvarez,gt GUA,FW,Eibar,22-123,2003,12.7,140,222,63.1,1730,254,95,129,73.6,32,54,59.3,3,12,25,1,0.8,0.6,0.2,15,6,4,1,13
15,Carmen Álvarez,es ESP,FW,Real Betis,22-081,2003,3,39,69,56.5,487,40,20,36,55.6,12,18,66.7,1,3,33.3,1,0.8,0,0.2,2,0,0,0,0
16,Carmen Álvarez,es ESP,FW,Eibar,22-081,2003,7,81,132,61.4,950,110,59,85,69.4,18,29,62.1,1,1,100,1,0.1,0.1,0.9,4,3,1,0,5
17,Isabel Álvarez,es ESP,DF,Granada,25-338,1999,19.8,1094,1497,73.1,25672,11330,249,281,88.6,603,704,85.7,237,473,50.1,2,0.8,1.5,1.2,14,86,8,3,73
18,Bernadette Amani,ci CIV,MF,Eibar,27-253,1997,20.9,324,502,64.5,5464,1772,141,208,67.8,150,202,74.3,24,55,43.6,1,0.7,0.8,0.3,7,33,4,0,48
19,Jone Amezaga,es ESP,"FW,MF",Athletic Club,20-134,2005,15.4,146,209,69.9,1975,216,94,113,83.2,42,61,68.9,4,8,50,0,0.2,0.3,-0.2,5,3,4,0,6
20,Nataša Andonova,mk MKD,"MF,FW",Madrid CFF,31-163,1993,9.5,248,348,71.3,4341,1487,123,142,86.6,83,116,71.6,33,61,54.1,2,1.3,1.2,0.7,12,29,9,4,35
21,Carla Andrés,es ESP,DF,Eibar,22-155,2002,21.5,316,537,58.8,7166,3452,76,120,63.3,179,240,74.6,59,151,39.1,1,0.4,0.2,0.6,2,39,2,0,38
22,Filippa Angeldahl,se SWE,MF,Real Madrid,27-306,1997,19.4,917,1108,82.8,16399,5533,414,464,89.2,398,451,88.2,89,134,66.4,5,3.3,3.5,1.7,35,173,38,6,202
23,Antônia,br BRA,DF,Real Madrid,31-020,1994,13.8,822,996,82.5,15280,5175,309,350,88.3,437,500,87.4,68,112,60.7,0,0.4,1,-0.4,11,114,17,3,111
24,Hildur Antonsdóttir,is ISL,MF,Madrid CFF,29-240,1995,14.5,390,530,73.6,6708,2085,174,216,80.6,166,216,76.9,35,69,50.7,1,1.4,1.2,-0.4,14,44,8,2,56
25,Arola Aparicio,es ESP,"FW,MF",Espanyol,27-234,1997,18.8,167,288,58,2958,782,72,112,64.3,64,90,71.1,21,36,58.3,1,1.2,1.8,-0.2,14,18,9,4,21
26,Nahia Aparicio,es ESP,DF,Real Sociedad,21-129,2004,24.8,1417,1573,90.1,25957,11267,524,558,93.9,785,836,93.9,103,147,70.1,1,0.4,0.7,0.6,5,94,0,0,104
27,Floriangel Apóstol,,FW,Dep La Coruña,19-251,2005,0.5,8,13,61.5,128,44,4,6,66.7,2,5,40,1,1,100,0,0.1,0,-0.1,1,0,1,1,1
