Rk,Player,Nation,Pos,Squad,Age,Born,90s,total_comp,total_att,total_comp_succ,total_dist,prg_dist,short_comp,short_att,short_comp_succ,medium_comp,medium_att,medium_comp_succ,long_balls_comp,long_balls_att,long_balls_succ,assists,xAG,xA,A-xAG,key_passes,into_final_third,passes_into_pen_area,crosses_into_pen_area,progressive_passes
1,Princess Ademiluyi,eng ENG,"FW,DF",West Ham,18,2006,0.8,11,14,78.6,132,0,6,7,85.7,3,4,75,1,2,50,1,0.9,0.1,0.1,2,0,0,0,0
2,Michelle Agyemang,eng ENG,"FW,MF",Brighton,18,2006,6.4,116,172,67.4,1559,451,64,81,79,38,53,71.7,4,8,50,1,1,0.3,0,5,11,4,0,22
3,Olga Ahtinen,fi FIN,MF,Tottenham,,,4.4,217,265,81.9,3326,940,120,134,89.6,78,88,88.6,15,30,50,0,0.1,0.3,-0.1,2,15,1,1,18
4,Asmita Ale,eng ENG,DF,Leicester City,22,2001,15.5,526,699,75.3,8602,4320,271,314,86.3,210,265,79.2,37,83,44.6,4,1.8,1.5,2.2,15,40,15,3,58
5,Laia Aleixandri,es ESP,"DF,MF",Manchester City,23,2000,18.4,1467,1616,90.8,26269,9720,549,587,93.5,780,830,94,111,148,75,1,0.4,1.1,0.6,8,142,8,1,156
6,Chloe Arthur,sct SCO,"MF,DF",Crystal Palace,29,1995,3.4,64,93,68.8,893,309,41,52,78.8,16,24,66.7,5,11,45.5,0,0,0.1,0,1,4,1,1,6
7,Verena Aschauer,at AUT,DF,West Ham,30,1994,10.3,317,504,62.9,5505,3334,146,195,74.9,124,194,63.9,36,87,41.4,3,1.7,0.9,1.3,13,30,9,5,27
8,Brooke Aspin,eng ENG,DF,Crystal Palace,19,2005,2.5,81,95,85.3,1585,617,28,30,93.3,40,41,97.6,11,20,55,0,0.1,0,-0.1,1,4,0,0,2
9,Viviane Asseyi,fr FRA,"MF,FW",West Ham,30,1993,19.6,374,565,66.2,6785,2439,173,211,82,135,182,74.2,58,140,41.4,6,3.8,3.1,2.2,37,22,12,5,38
10,Izzy Atkinson,ie IRL,"MF,FW",Crystal Palace,23,2001,0.2,3,5,60,117,70,0,1,0,1,1,100,2,3,66.7,0,0.1,0.3,-0.1,1,0,0,0,0
11,Marit Auée,nl NED,"DF,FW",Brighton,22,2002,5.3,272,343,79.3,4682,1861,124,147,84.4,116,133,87.2,23,46,50,1,0.4,0.7,0.6,5,24,4,1,25
