Rk,Player,Nation,Pos,Squad,Age,Born,90s,touches,def_pen_touches,def_third_touches,mid_third_touches,att_third_touches,att_pen_touches,liveball_touches,takeons_att,takeon_succ,takeon_succ_perc,takeons_tackled,perc_takeons_tackled,total_carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,dispossessed,passes_received,progressive_passes_received
1,Teresa Abelleira,es ESP,MF,Real Madrid,25-129,2000,13.9,1197,21,165,713,328,10,1196,28,15,53.6,13,46.4,712,3296,1484,21,20,4,13,19,839,24
2,Aiara Agirrezabala,,"DF,MF",Real Sociedad,16-228,2008,2.2,154,5,53,81,21,0,154,3,3,100,0,0,65,348,189,4,0,0,2,4,98,12
3,Daniela Agote,,"FW,MF",Athletic Club,18-264,2006,4.5,184,1,16,62,109,22,184,15,4,26.7,11,73.3,101,642,229,7,4,2,13,8,110,47
4,Júlia Aguado,es ESP,"FW,MF",Real Betis,25-016,2000,5.8,151,2,17,64,71,17,151,8,5,62.5,3,37.5,81,369,162,7,5,2,14,8,116,21
5,Yolanda Aguirre,es ESP,GK,Sevilla,26-207,1998,2.1,79,69,78,1,0,0,79,0,0,,0,,38,232,172,0,0,0,0,0,18,0
6,Rasheedat Ajibade,ng NGA,"FW,MF",Atlético Madrid,25-161,1999,16.8,756,10,96,253,426,90,756,81,36,44.4,45,55.6,519,3738,1898,84,43,40,53,39,546,187
7,Ainhoa Alguacil,es ESP,"MF,FW",Valencia,19-130,2006,20.8,837,11,159,411,283,19,836,26,12,46.2,13,50,545,3278,1543,41,35,3,36,35,593,69
8,María Alharilla Casado,es ESP,DF,Levante,34-186,1990,23.6,1295,48,503,528,282,20,1295,30,18,60,12,40,545,2239,1033,22,9,6,30,21,641,66
9,Amirah Ali,us USA,"FW,MF",Valencia,26-162,1998,6.1,157,3,26,64,73,21,157,7,4,57.1,3,42.9,95,383,102,4,5,2,30,15,96,22
10,Vitória Almeida,,FW,Valencia,25-265,1999,4.8,143,6,21,73,50,16,143,4,2,50,2,50,79,334,139,7,2,2,11,8,102,10
11,Eva Alonso,,"DF,MF",Levante,22-299,2002,22.5,1358,253,876,444,43,12,1358,11,8,72.7,3,27.3,672,2716,1576,7,5,0,7,9,847,6
12,Arene Altonaga,es ESP,MF,Eibar,32-082,1993,20.3,610,21,128,353,136,11,610,5,2,40,3,60,194,614,150,2,6,0,23,19,236,28
13,Oriana Altuve,ve VEN,"FW,MF",Dep La Coruña,32-227,1992,2.1,54,2,5,28,21,4,54,1,1,100,0,0,36,137,70,3,2,0,6,3,49,7
14,Andrea Álvarez,gt GUA,FW,Eibar,22-125,2003,12.7,386,5,32,149,212,33,384,29,14,48.3,14,48.3,235,1359,413,24,12,12,67,50,295,74
15,Carmen Álvarez,es ESP,FW,Real Betis,22-083,2003,3,85,1,7,43,35,10,85,1,0,0,1,100,44,160,56,3,3,2,2,4,51,11
16,Carmen Álvarez,es ESP,FW,Eibar,22-083,2003,7,215,3,13,74,129,31,214,23,10,43.5,13,56.5,139,669,228,11,9,7,28,28,168,54
