Rk,Player,Nation,Pos,Squad,Age,Born,90s,touches,def_pen_touches,def_third_touches,mid_third_touches,att_third_touches,att_pen_touches,liveball_touches,takeons_att,takeon_succ,takeon_succ_perc,takeons_tackled,perc_takeons_tackled,total_carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,dispossessed,passes_received,progressive_passes_received
1,Princess Ademiluyi,eng ENG,"FW,DF",West Ham,18,2006,0.8,28,0,1,9,18,5,28,4,2,50,2,50,21,155,45,1,2,1,7,5,21,7
2,Michelle Agyemang,eng ENG,"FW,MF",Brighton,18,2006,6.4,298,15,53,112,138,33,298,25,11,44,14,56,162,970,458,16,7,10,24,14,193,38
3,Olga Ahtinen,fi FIN,MF,Tottenham,,,4.4,328,13,101,175,55,3,328,10,4,40,6,60,154,596,215,1,3,0,10,6,206,10
4,Asmita Ale,eng ENG,DF,Leicester City,22,2001,15.5,942,61,430,356,164,19,942,14,4,28.6,10,71.4,312,1665,864,17,13,1,27,12,387,35
5,Laia Aleixandri,es ESP,"DF,MF",Manchester City,23,2000,18.4,1777,119,611,1025,147,7,1777,14,11,78.6,3,21.4,1099,5720,3602,12,14,1,11,11,1319,12
6,Chloe Arthur,sct SCO,"MF,DF",Crystal Palace,29,1995,3.4,131,13,53,68,10,1,131,6,4,66.7,2,33.3,48,192,49,0,0,0,6,5,63,2
7,Verena Aschauer,at AUT,DF,West Ham,30,1994,10.3,640,43,279,224,147,11,640,16,5,31.3,10,62.5,232,1174,659,16,5,2,16,6,285,22
8,Brooke Aspin,eng ENG,DF,Crystal Palace,19,2005,2.5,119,34,89,28,2,1,119,1,1,100,0,0,63,236,88,0,0,0,0,2,76,0
9,Viviane Asseyi,fr FRA,"MF,FW",West Ham,30,1993,19.6,837,26,185,330,336,45,835,54,24,44.4,29,53.7,405,2639,1147,40,21,12,52,44,486,91
10,Izzy Atkinson,ie IRL,"MF,FW",Crystal Palace,23,2001,0.2,8,0,2,4,3,1,8,0,0,,0,,3,19,3,0,0,0,1,0,4,2
11,Marit Auée,nl NED,"DF,FW",Brighton,22,2002,5.3,418,37,178,165,78,8,418,11,7,63.6,4,36.4,196,872,379,7,3,1,7,2,227,8
12,Simi Awujo,ca CAN,MF,Manchester Utd,20,2003,4,188,7,55,94,41,7,188,8,3,37.5,4,50,86,342,123,3,4,1,14,9,106,5
13,Rosella Ayane,ma MAR,"FW,MF",Tottenham,28,1996,0.5,39,0,10,10,19,6,39,5,2,40,3,60,10,78,21,1,1,0,4,1,15,3
14,Sophie Baggaley,eng ENG,GK,Brighton,27,1996,14,571,494,566,5,0,0,571,1,0,0,1,100,344,1584,807,0,1,1,0,0,294,0
15,Jill Baijings,nl NED,MF,Aston Villa,23,2001,8.1,469,18,96,231,148,18,469,12,9,75,3,25,205,893,304,8,3,2,18,13,285,24
16,Sandy Baltimore,fr FRA,"DF,FW",Chelsea,24,2000,12.4,795,20,163,303,338,43,795,40,23,57.5,17,42.5,414,2600,1529,54,30,16,24,25,495,88
17,Julia Bartel,es ESP,MF,Liverpool,20,2004,1.3,86,3,27,40,19,0,86,2,0,0,2,100,30,93,41,0,0,0,0,3,53,3
18,Molly Bartrip,eng ENG,DF,Tottenham,28,1996,22,1509,308,944,551,20,1,1509,4,3,75,1,25,791,3396,1870,4,3,0,4,5,1088,4
19,Agnes Beever-Jones,eng ENG,"FW,MF",Chelsea,21,2003,12.4,557,6,63,208,299,91,557,44,18,40.9,24,54.5,330,1765,788,29,18,16,40,28,392,95
20,Marika Bergman-Lundin,se SWE,"MF,FW",West Ham,25,1999,0.1,7,0,3,4,0,0,7,0,0,,0,,3,2,0,0,0,0,0,0,5,0
21,Guro Bergsvand,no NOR,DF,Brighton,30,1994,21.3,1648,303,1028,605,21,13,1648,1,0,0,1,100,991,5058,2849,3,0,0,13,2,1153,1
22,Alejandra Bernabe,es ESP,DF,Liverpool,22,2001,1.7,91,5,47,34,10,1,91,8,3,37.5,4,50,40,141,68,3,0,2,5,1,38,5
23,Alejandra Bernabe,es ESP,DF,Chelsea,22,2001,0.2,17,0,0,1,16,5,17,0,0,,0,,14,49,23,1,0,0,0,2,15,7
24,Emma Bissell,eng ENG,"FW,MF",Everton,22,2001,2.5,109,1,13,43,53,8,109,5,3,60,2,40,60,427,171,10,6,2,15,6,67,20
25,Nathalie Björn,se SWE,DF,Chelsea,27,1997,10.9,854,86,425,398,37,11,854,3,1,33.3,2,66.7,512,2326,1352,6,4,1,6,3,603,2
26,Stina Blackstenius,se SWE,"FW,MF",Arsenal,28,1996,8.2,264,1,2,78,186,79,264,20,11,55,9,45,175,918,459,23,5,18,19,16,200,71
27,Annabel Blanchard,eng ENG,"MF,FW",Crystal Palace,23,2001,12.5,413,14,72,210,143,32,411,32,12,37.5,20,62.5,261,1471,519,13,11,5,26,21,267,41
28,Laura Blindkilde,eng ENG,"MF,FW",Manchester City,20,2003,4.1,238,0,17,98,123,14,238,12,6,50,6,50,155,801,336,12,8,4,13,9,194,24
29,Missy Bo Kearns,eng ENG,MF,Aston Villa,23,2001,10.7,551,17,141,270,149,16,551,15,8,53.3,6,40,268,1137,522,8,6,1,25,11,337,21
30,Gemma Bonner,eng ENG,DF,Liverpool,33,1991,17,1043,146,521,469,64,28,1043,7,6,85.7,0,0,453,2377,1358,12,8,0,9,3,609,2
