Rk,Player,Nation,Pos,Squad,Age,Born,90s,goals,shots,shots_on_target,shots_on_target_perc,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,shot_distance,free_kicks,penalties_made,penalties_att,xG,npxG,npXG_per_shot,goals_over_xg,npgoals_over_xg
1,Teresa Abelleira,es ESP,MF,Real Madrid,24,2000,13.9,1,25,7,28,1.8,0.5,0.04,0.14,26.5,3,0,1,1.9,1.2,0.05,-0.9,-0.2
2,Aiara Agirrezabala,,"DF,MF",Real Sociedad,15,2008,2.2,0,1,0,0,0.46,0,0,,21.8,0,0,0,0,0,0.03,0,0
3,Daniela Agote,,"FW,MF",Athletic Club,17,2006,4.9,2,11,4,36.4,2.26,0.82,0.18,0.5,15.8,1,0,0,1.4,1.4,0.13,0.6,0.6
4,Júlia Aguado,es ESP,"FW,MF",Real Betis,24,2000,5.8,0,9,1,11.1,1.56,0.17,0,0,13.8,0,0,0,1.4,1.4,0.15,-1.4,-1.4
5,Yolanda Aguirre,es ESP,GK,Sevilla,25,1998,2.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
6,Rasheedat Ajibade,ng NGA,"FW,MF",Atlético Madrid,24,1999,17.8,7,33,14,42.4,1.85,0.79,0.21,0.5,16.5,0,0,0,3.6,3.6,0.11,3.4,3.4
7,Ainhoa Alguacil,es ESP,"MF,FW",Valencia,18,2006,21.7,1,14,4,28.6,0.64,0.18,0,0,22.7,0,1,1,1.3,0.5,0.04,-0.3,-0.5
8,María Alharilla Casado,es ESP,DF,Levante,33,1990,24.6,3,11,6,54.5,0.45,0.24,0.27,0.5,18.6,0,0,0,0.5,0.5,0.05,2.5,2.5
9,Amirah Ali,us USA,"FW,MF",Valencia,25,1998,6.1,0,8,1,12.5,1.32,0.17,0,0,14.5,0,0,0,0.7,0.7,0.09,-0.7,-0.7
10,Vitória Almeida,,FW,Valencia,24,1999,4.8,1,15,4,26.7,3.13,0.84,0.07,0.25,18.9,1,0,0,0.7,0.7,0.05,0.3,0.3
11,Eva Alonso,,"DF,MF",Levante,22,2002,23.5,3,15,8,53.3,0.64,0.34,0.2,0.38,16.8,0,0,0,0.9,0.9,0.06,2.1,2.1
12,Arene Altonaga,es ESP,MF,Eibar,31,1993,21.1,1,14,3,21.4,0.66,0.14,0.07,0.33,23.6,0,0,0,0.8,0.8,0.06,0.2,0.2
