Rk,Player,Nation,Pos,Squad,Age,Born,90s,goals,shots,shots_on_target,shots_on_target_perc,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,shot_distance,free_kicks,penalties_made,penalties_att,xG,npxG,npXG_per_shot,goals_over_xg,npgoals_over_xg
1,Princess Ademiluyi,eng ENG,"FW,DF",West Ham,18,2006,0.8,0,2,1,50,2.47,1.23,0,0,10.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2
2,Michelle Agyemang,eng ENG,"FW,MF",Brighton,18,2006,6.4,3,19,7,36.8,2.97,1.09,0.16,0.43,14.7,0,0,0,3.1,3.1,0.16,-0.1,-0.1
3,Olga Ahtinen,fi FIN,MF,Tottenham,,,4.4,1,5,4,80,1.13,0.9,0.2,0.25,22.6,0,0,0,0.2,0.2,0.05,0.8,0.8
4,Asmita Ale,eng ENG,DF,Leicester City,22,2001,15.5,0,3,0,0,0.19,0,0,,10.9,0,0,0,0.7,0.7,0.24,-0.7,-0.7
5,Laia Aleixandri,es ESP,"DF,MF",Manchester City,23,2000,18.4,1,9,2,22.2,0.49,0.11,0.11,0.5,18.6,0,0,0,0.7,0.7,0.07,0.3,0.3
6,Chloe Arthur,sct SCO,"MF,DF",Crystal Palace,29,1995,3.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
7,Verena Aschauer,at AUT,DF,West Ham,30,1994,10.3,0,5,1,20,0.48,0.1,0,0,19.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3
8,Brooke Aspin,eng ENG,DF,Crystal Palace,19,2005,2.5,0,1,0,0,0.4,0,0,,10.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
9,Viviane Asseyi,fr FRA,"MF,FW",West Ham,30,1993,19.6,9,36,14,38.9,1.83,0.71,0.19,0.5,20,5,2,2,5.4,3.9,0.11,3.6,3.1
10,Izzy Atkinson,ie IRL,"MF,FW",Crystal Palace,23,2001,0.2,0,1,0,0,4.09,0,0,,27.5,0,0,0,0,0,0.03,0,0
11,Marit Auée,nl NED,"DF,FW",Brighton,22,2002,5.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
12,Simi Awujo,ca CAN,MF,Manchester Utd,20,2003,4,0,2,0,0,0.51,0,0,,21.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
13,Rosella Ayane,ma MAR,"FW,MF",Tottenham,28,1996,0.5,0,3,3,100,5.51,5.51,0,0,8.5,0,0,0,0.7,0.7,0.26,-0.7,-0.7
14,Sophie Baggaley,eng ENG,GK,Brighton,27,1996,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
15,Jill Baijings,nl NED,MF,Aston Villa,23,2001,8.1,0,8,3,37.5,0.99,0.37,0,0,21.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4
16,Sandy Baltimore,fr FRA,"DF,FW",Chelsea,24,2000,12.4,4,16,8,50,1.29,0.65,0.25,0.5,18.4,0,0,0,1.5,1.3,0.08,2.5,2.7
17,Julia Bartel,es ESP,MF,Liverpool,20,2004,1.3,0,1,1,100,0.76,0.76,0,0,23,0,0,0,0,0,0.03,0,0
18,Molly Bartrip,eng ENG,DF,Tottenham,28,1996,22,0,2,1,50,0.09,0.05,0,0,32.5,0,0,0,0,0,0.02,0,0
19,Agnes Beever-Jones,eng ENG,"FW,MF",Chelsea,21,2003,12.4,9,46,19,41.3,3.71,1.53,0.2,0.47,13.4,0,0,0,6.3,6.3,0.14,2.7,2.7
20,Marika Bergman-Lundin,se SWE,"MF,FW",West Ham,25,1999,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
21,Guro Bergsvand,no NOR,DF,Brighton,30,1994,21.3,0,5,1,20,0.23,0.05,0,0,9.7,0,0,0,0.7,0.7,0.13,-0.7,-0.7
22,Alejandra Bernabe,es ESP,DF,Liverpool,22,2001,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
23,Alejandra Bernabe,es ESP,DF,Chelsea,22,2001,0.2,0,3,0,0,16.88,0,0,,18.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2
24,Emma Bissell,eng ENG,"FW,MF",Everton,22,2001,2.5,0,6,0,0,2.44,0,0,,22.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
25,Nathalie Björn,se SWE,DF,Chelsea,27,1997,10.9,1,6,1,16.7,0.55,0.09,0.17,1,10.7,0,0,0,0.9,0.9,0.15,0.1,0.1
26,Stina Blackstenius,se SWE,"FW,MF",Arsenal,28,1996,8.2,5,34,15,44.1,4.14,1.82,0.15,0.33,11.7,0,0,0,7.2,7.2,0.21,-2.2,-2.2
27,Annabel Blanchard,eng ENG,"MF,FW",Crystal Palace,23,2001,12.5,4,20,6,30,1.6,0.48,0.1,0.33,17,1,2,2,4,2.5,0.13,0,-0.5
28,Laura Blindkilde,eng ENG,"MF,FW",Manchester City,20,2003,4.1,0,4,2,50,0.99,0.49,0,0,14.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3
29,Missy Bo Kearns,eng ENG,MF,Aston Villa,23,2001,10.7,0,15,5,33.3,1.41,0.47,0,0,21.2,1,0,0,1,1,0.07,-1,-1
30,Gemma Bonner,eng ENG,DF,Liverpool,33,1991,17,0,15,3,20,0.88,0.18,0,0,8.6,0,0,0,1.7,1.7,0.11,-1.7,-1.7
31,CJ Bott,nz NZL,DF,Leicester City,29,1995,13.4,0,6,1,16.7,0.45,0.07,0,0,22.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
32,Pauline Bremer,de GER,"FW,MF",Brighton,28,1996,6.4,1,12,2,16.7,1.87,0.31,0.08,0.5,15.9,0,0,0,1.1,1.1,0.09,-0.1,-0.1
33,Millie Bright,eng ENG,DF,Chelsea,30,1993,20.2,0,15,3,20,0.74,0.15,0,0,14.2,0,0,0,1.2,1.2,0.08,-1.2,-1.2
34,Lucy Bronze,eng ENG,DF,Chelsea,32,1991,16.6,2,20,4,20,1.21,0.24,0.1,0.5,15.1,0,0,0,1.6,1.6,0.08,0.4,0.4
35,Courtney Brosnan,ie IRL,GK,Everton,28,1995,21,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
36,Lola Brown,eng ENG,FW,Chelsea,16,2007,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
37,Dagný Brynjarsdóttir,is ISL,MF,West Ham,32,1991,5.7,0,8,2,25,1.41,0.35,0,0,14.8,0,0,0,0.6,0.6,0.08,-0.6,-0.6
38,Kadeisha Buchanan,ca CAN,DF,Chelsea,28,1995,4.9,0,3,0,0,0.61,0,0,,7,0,0,0,0.3,0.3,0.09,-0.3,-0.3
39,Luana Bühler,ch SUI,DF,Tottenham,28,1996,5.1,0,1,1,100,0.19,0.19,0,0,13.4,0,0,0,0,0,0.02,0,0
40,Hannah Cain,wls WAL,FW,Leicester City,25,1999,10.8,3,26,14,53.8,2.41,1.3,0.12,0.21,17.1,0,0,0,2.9,2.9,0.12,0.1,0.1
41,Mariona Caldentey,es ESP,"MF,FW",Arsenal,28,1996,19.6,9,28,14,50,1.43,0.71,0.18,0.36,19.5,1,4,5,6.3,2.6,0.09,2.7,2.4
42,Jelena Čanković,rs SRB,MF,Brighton,28,1995,10,3,10,8,80,1,0.8,0.3,0.38,17.7,1,0,0,1.1,1.1,0.11,1.9,1.9
43,Jorelyn Carabalí,co COL,DF,Brighton,27,1997,10.7,0,10,3,30,0.93,0.28,0,0,14.3,0,0,0,1.3,1.3,0.13,-1.3,-1.3
44,Kerstin Casparij,nl NED,DF,Manchester City,23,2000,20.4,2,12,4,33.3,0.59,0.2,0.17,0.5,14.8,0,0,0,2,2,0.16,0,0
45,Steph Catley,au AUS,DF,Arsenal,30,1994,17.5,0,5,0,0,0.28,0,0,,8.5,0,0,0,0.5,0.5,0.09,-0.5,-0.5
46,My Cato,se SWE,MF,Crystal Palace,22,2002,18.5,2,17,5,29.4,0.92,0.27,0.12,0.4,16.8,0,0,0,2,2,0.12,0,0
47,Janice Cayman,be BEL,"MF,DF",Leicester City,35,1988,18.5,4,20,10,50,1.08,0.54,0.2,0.4,18.7,0,0,0,2.3,2.3,0.12,1.7,1.7
48,Niamh Charles,eng ENG,"DF,FW",Chelsea,25,1999,10,0,6,2,33.3,0.6,0.2,0,0,10.5,0,0,0,0.6,0.6,0.11,-0.6,-0.6
49,Shana Chossenotte,fr FRA,"FW,MF",Leicester City,19,2005,10.9,1,10,3,30,0.92,0.28,0.1,0.33,14.2,0,0,0,0.7,0.7,0.07,0.3,0.3
50,Jenna Clark,sct SCO,DF,Liverpool,22,2001,15.2,0,8,3,37.5,0.53,0.2,0,0,14.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7
51,Grace Clinton,eng ENG,"MF,FW",Manchester Utd,21,2003,18.6,8,43,17,39.5,2.31,0.91,0.19,0.47,17.8,1,0,0,5.4,5.4,0.12,2.6,2.6
52,Laia Codina,es ESP,DF,Arsenal,24,2000,4.6,0,1,0,0,0.22,0,0,,7,0,0,0,0.1,0.1,0.14,-0.1,-0.1
53,Shannon Cooke,eng ENG,DF,West Ham,24,2000,3.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
54,Laura Coombs,eng ENG,"MF,FW",Manchester City,33,1991,5.8,0,6,0,0,1.03,0,0,,24.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4
55,Kyra Cooney-Cross,au AUS,MF,Arsenal,22,2002,10.8,0,11,2,18.2,1.02,0.18,0,0,26.1,0,0,0,0.5,0.5,0.04,-0.5,-0.5
56,Rachel Corsie,sct SCO,"DF,MF",Aston Villa,34,1989,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
57,Erin Cuthbert,sct SCO,MF,Chelsea,26,1998,12.8,4,28,11,39.3,2.19,0.86,0.14,0.36,18.4,0,0,0,2.4,2.4,0.09,1.6,1.6
58,Sabrina D'Angelo,ca CAN,GK,Aston Villa,31,1993,21.6,0,1,1,100,0.05,0.05,0,0,12,0,0,0,0,0,0.04,0,0
59,Kenza Dali,fr FRA,"MF,FW",Aston Villa,33,1991,4.4,1,6,1,16.7,1.36,0.23,0.17,1,23.3,1,0,0,0.3,0.3,0.06,0.7,0.7
60,Rachel Daly,eng ENG,"FW,MF",Aston Villa,32,1991,20.6,8,48,17,35.4,2.33,0.83,0.15,0.41,13.7,0,1,1,7.4,6.6,0.14,0.6,0.4
61,Yana Daniels,be BEL,"DF,FW",Liverpool,32,1992,1.4,0,1,0,0,0.73,0,0,,12.1,0,0,0,0,0,0.03,0,0
62,Anouk Denton,eng ENG,"DF,MF",West Ham,21,2003,17.7,2,13,5,38.5,0.73,0.28,0.15,0.4,21.7,0,0,0,0.9,0.9,0.07,1.1,1.1
63,Daphne van Domselaar,nl NED,GK,Arsenal,24,2000,15,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
64,Maddy Duffy,,DF,Liverpool,,,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
