Rk,name,position,Min,90s
1,Princess Ademiluyi,"FW,DF",69,0.8
2,Michelle Agyemang,"FW,MF",531,5.9
3,Olga Ahtinen,MF,394,4.4
4,Asmita Ale,DF,"1,219",13.5
5,Laia Aleixandri,"DF,MF","1,474",16.4
6,Eve Annets,GK,,
7,Chloe Arthur,"MF,DF",302,3.4
8,Verena Aschauer,DF,783,8.7
9,Brooke Aspin,DF,226,2.5
10,Viviane Asseyi,"MF,FW","1,586",17.6
11,Izzy Atkinson,"MF,FW",22,0.2
12,Marit Auée,DF,305,3.4
13,Simi Awujo,MF,354,3.9
14,Rosella Ayane,"FW,MF",49,0.5
15,Sophie Baggaley,GK,"1,080",12
16,Jill Baijings,"MF,FW",593,6.6
17,Zara Bailey,,,
18,May Balmer,DF,,
19,Mia Balmer,MF,,
20,Sandy Baltimore,"DF,FW","1,044",11.6
21,Julia Bartel,MF,114,1.3
22,Julia Bartel,MF,,
23,Molly Bartrip,DF,"1,800",20
24,Agnes Beever-Jones,"FW,MF","1,014",11.3
25,Marika Bergman-Lundin,"MF,FW",9,0.1
26,Guro Bergsvand,DF,"1,736",19.3
27,Alejandra Bernabe,DF,155,1.7
28,Alejandra Bernabe,DF,16,0.2
29,Emma Bissell,"FW,MF",221,2.5
30,Nathalie Björn,DF,911,10.1
31,Stina Blackstenius,"FW,MF",707,7.9
32,Annabel Blanchard,"MF,FW","1,036",11.5
33,Laura Blindkilde,MF,332,3.7
34,Missy Bo Kearns,MF,809,9
35,Gemma Bonner,DF,"1,348",15
36,CJ Bott,DF,"1,191",13.2
37,Ffion Bowen,MF,,
38,Pauline Bremer,"FW,MF",566,6.3
39,Millie Bright,DF,"1,732",19.2
40,Lucy Bronze,DF,"1,408",15.6
41,Courtney Brosnan,GK,"1,710",19
42,Lola Brown,FW,,
43,Dagný Brynjarsdóttir,MF,509,5.7
44,Kadeisha Buchanan,DF,444,4.9
45,Luana Bühler,DF,463,5.1
46,Hannah Cain,FW,818,9.1
47,Mariona Caldentey,"MF,FW","1,590",17.7
48,Jelena Čanković,MF,731,8.1
49,Jorelyn Carabalí,DF,965,10.7
50,Kerstin Casparij,DF,"1,665",18.5
51,Steph Catley,DF,"1,399",15.5
52,My Cato,MF,"1,643",18.3
53,Janice Cayman,"MF,DF","1,491",16.6
54,Niamh Charles,DF,809,9
55,Shana Chossenotte,"FW,MF",886,9.8
56,Jenna Clark,DF,"1,257",14
57,Olivia Clark,GK,,
58,Grace Clinton,"MF,FW","1,495",16.6
59,Laia Codina,DF,410,4.6
60,Shannon Cooke,DF,341,3.8
61,Laura Coombs,"MF,FW",399,4.4
62,Kyra Cooney-Cross,MF,974,10.8
63,Rachel Corsie,MF,2,0
64,Katie Cox,GK,,
65,Erin Cuthbert,MF,"1,045",11.6
66,Sabrina D'Angelo,GK,"1,763",19.6
67,Kenza Dali,"MF,FW",396,4.4
68,Rachel Daly,"FW,MF","1,704",18.9
69,Yana Daniels,"DF,FW",108,1.2
70,Mayzee Davies,DF,,
71,Araya Dennis,FW,,
72,Anouk Denton,"DF,MF","1,417",15.7
73,Ruby Doe,MF,,
74,Daphne van Domselaar,GK,"1,350",15
75,Rebekah Dowsett,GK,,
76,Denny Draper,FW,,
77,Maddy Duffy,DF,1,0
78,Hlín Eiríksdóttir,FW,188,2.1
79,Mia Enderby,"FW,DF",571,6.3
80,Bethany England,"FW,MF","1,199",13.3
81,Gemma Evans,"DF,MF",748,8.3
82,Aimee Everett,DF,953,10.6
83,Tecla Ezeh,,,
84,Niamh Fahey,DF,43,0.5
85,Martina Fernández,DF,900,10
86,Megan Finnigan,DF,"1,080",12
87,Mia Fishel,"FW,MF",73,0.8
88,Grace Fisk,DF,"1,218",13.5
89,Caitlin Foord,"FW,MF","1,061",11.8
90,Rylee Foster,GK,,
